Geographic code,Provincial Geographic Code,Population 2016,Population 2011,Population percent change,Total private dwellings 2016,Population density per square kilometre 2016,National population rank
3525,35,536917,519949,3.3,222918,480.6,13
3526,35,447888,431346,3.8,196241,241.5,17
3528,35,109787,109118,0.6,48249,37.9,58
3529,35,134808,136035,-0.9,54626,123.3,47
3530,35,535154,507096,5.5,214299,390.9,14
3531,35,76796,75112,2.2,31747,34.6,84
3532,35,110862,105719,4.9,45350,54.4,57
3534,35,88978,87461,1.7,36613,47.3,70
3536,35,102042,104075,-2,46287,41.3,61
3537,35,398953,388782,2.6,168569,215.5,21
3538,35,126638,126199,0.3,59777,42.2,50
3539,35,455526,439151,3.7,203349,137.3,16
3540,35,59297,59100,0.3,28369,17.4,108
3541,35,68147,66102,3.1,41183,16.7,94
3542,35,93830,92568,1.4,47560,20.8,68
3543,35,479650,446063,7.5,206549,98.7,15
3544,35,60599,58017,4.5,46207,15.4,105
3546,35,18062,17056,5.9,21113,4.4,234
3547,35,102394,101326,1.1,49860,13.7,60
3548,35,83150,84736,-1.9,41200,4.9,77
3549,35,42824,42162,1.6,35226,4.6,138
3551,35,13255,13048,1.6,9537,4.3,258
3552,35,21546,21196,1.7,12557,0.5,209
3553,35,161647,160376,0.8,75103,49.9,34
3554,35,32251,32634,-1.2,16862,2.4,169
3556,35,79682,81122,-1.8,37974,0.6,81
3557,35,114094,115870,-1.5,60324,2.3,55
3558,35,146048,146057,0,72551,1.4,43
3559,35,20110,20370,-1.3,11217,1.3,221
3560,35,65533,57607,13.8,31191,0.2,98
4601,46,18534,17331,6.9,17236,1.2,230
4602,46,75571,66045,14.4,26604,17.1,85
4603,46,54796,50679,8.1,19419,10.4,112
4604,46,9986,9989,0,4206,2.2,274
4605,46,13176,12922,2,6945,1.6,259
4606,46,10317,10025,2.9,4703,2.6,273
4607,46,68746,65084,5.6,29333,10.9,92
4608,46,13968,13444,3.9,5008,2.4,256
4609,46,24391,23489,3.8,9807,8.2,195
4610,46,11941,10673,11.9,3786,6.2,264
4611,46,708823,666832,6.3,295343,1240.1,9
4612,46,23683,21830,8.5,9300,12.7,198
4613,46,49086,46888,4.7,20847,29,125
4614,46,18621,18497,0.7,6967,6.6,228
4615,46,21379,20837,2.6,10696,2.4,211
4616,46,9848,9928,-0.8,4986,2.1,275
4617,46,22205,22208,0,11646,1.6,207
4618,46,24036,23469,2.4,15528,2.1,196
4619,46,16518,17240,-4.2,7984,0.3,245
4620,46,9621,9952,-3.3,4919,1,276
4621,46,21983,21393,2.8,9162,0.5,208
4622,46,42165,40923,3,12356,0.5,144
4623,46,8971,8590,4.4,2967,0,278
4701,47,31766,31333,1.4,15738,2.1,170
4702,47,22825,22266,2.5,10741,1.4,203
4703,47,12610,12691,-0.6,6173,0.7,261
4704,47,10854,10879,-0.2,5262,0.5,268
4705,47,31750,32007,-0.8,15738,2.1,171
4706,47,262837,237746,10.6,116531,15,27
4707,47,47195,46648,1.2,22895,2.5,127
4708,47,30718,29962,2.5,14534,1.4,178
4709,47,35634,35314,0.9,18041,2.3,163
4710,47,16563,17546,-5.6,8427,1.4,243
4711,47,303423,271170,11.9,129632,18.2,23
4712,47,23986,23228,3.3,10076,1.7,197
4713,47,23224,23089,0.6,10510,1.3,200
4714,47,36096,37195,-3,18261,1.1,160
4715,47,85908,83725,2.6,38751,4.4,73
4716,47,37999,37845,0.4,18762,1.7,152
4717,47,47900,44180,8.4,22846,2.1,126
4718,47,37064,36557,1.4,12664,0.1,156
4801,48,82627,78694,5,35331,4,79
4802,48,169729,156536,8.4,66991,9.6,32
4803,48,38956,38566,1,15405,2.8,149
4804,48,9573,10078,-5,4174,0.4,277
4805,48,55708,53263,4.6,22044,3.3,111
4806,48,1498778,1311022,14.3,586269,118.4,4
4807,48,41574,40232,3.3,18246,2.2,147
4808,48,209395,189243,10.6,88994,21.1,29
4809,48,20869,21290,-2,9210,1.1,214
4810,48,97449,93039,4.7,42796,4.8,66
4811,48,1366050,1203115,13.5,557547,86.5,6
4812,48,67120,63427,5.8,30281,2.1,95
4813,48,71016,68919,3,34788,2.9,90
4814,48,29291,28584,2.5,13153,1.1,183
4815,48,38594,35983,7.3,17542,1.4,150
4816,48,73988,67516,9.6,31535,0.8,88
4817,48,61590,61504,0.1,23895,0.3,103
4818,48,14488,14534,-0.3,6590,0.4,252
4819,48,120380,109712,9.7,49338,5.9,53
5901,59,60439,56685,6.6,34197,2.2,106
5903,59,59517,58441,1.8,30726,2.7,107
5905,59,31447,31138,1,18321,3.9,173
5907,59,83022,80742,2.8,42894,8,78
5909,59,295934,277593,6.6,116080,22.2,24
5915,59,2463431,2313328,6.5,1027613,854.6,2
5917,59,383360,359991,6.5,183562,163.8,22
5919,59,83739,80332,4.2,37919,24.1,76
5921,59,155698,146574,6.2,73622,76.4,38
5923,59,30981,31061,-0.3,15490,4.7,176
5924,59,44671,43252,3.3,21681,2.4,131
5926,59,66527,63538,4.7,32076,39.1,97
5927,59,20070,19906,0.8,11400,4,223
